Location;Specializaion;Position_level;Contract_type;Work_schedule;Work_modes
Warszawa, mazowieckie;Specjalizacje:Frontend, QA/Testing;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o dzie³o, umowa zlecenie, kontrakt B2B;pe³ny etat, czêœæ etatu;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;;specialist (Mid / Regular);contract of employment;full-time;full office work
Rybnik, œl¹skie;;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Knurów, œl¹skie;;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca mobilna
Knurów, œl¹skie;;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca mobilna
Wroc³aw, Lower Silesia;Specializations:SAP&ERP;senior specialist (Senior);contract of employment;full-time;hybrid work
Wroc³aw, Lower Silesia;Specializations:SAP&ERP;senior specialist (Senior);contract of employment;full-time;hybrid work
Poznañ, Greater Poland;Specializations:SAP&ERP;senior specialist (Senior);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:SAP&ERP;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:SAP&ERP;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:SAP&ERP;senior specialist (Senior);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:SAP&ERP;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:SAP&ERP;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Full-stack;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Leszno, wielkopolskie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Czêstochowa, œl¹skie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:DevOps, IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca stacjonarna
Kraków, ma³opolskie;;dyrektor;umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Kraków, ma³opolskie;Specjalizacje:Security;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Nowy S¹cz, ma³opolskie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat, dodatkowa / tymczasowa;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:SAP&ERP;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:IT admin;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:IT admin;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Architecture, DevOps;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Backend;senior specialist (Senior);contract of employment;full-time;hybrid work
Szczecin, zachodniopomorskie;Specjalizacje:Full-stack;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Dêbowiec (pow. cieszyñski), œl¹skie;Specjalizacje:Full-stack;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:QA/Testing;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:Architecture, DevOps, Security, System analytics;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Backend, Frontend, Full-stack;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Wroc³aw, dolnoœl¹skie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, umowa zlecenie, umowa o sta¿ / praktyki;pe³ny etat, czêœæ etatu;praca stacjonarna
Gdañsk, pomorskie;;specjalista (Mid / Regular);umowa zlecenie, kontrakt B2B;czêœæ etatu, dodatkowa / tymczasowa;praca zdalna
Poznañ, wielkopolskie;Specjalizacje:Architecture, Frontend, UX/UI;kierownik / koordynator;kontrakt B2B;pe³ny etat;praca zdalna
Kraków, ma³opolskie;Specjalizacje:Agile, Frontend, Full-stack;m³odszy specjalista (Junior);umowa zlecenie, umowa o sta¿ / praktyki;czêœæ etatu, dodatkowa / tymczasowa;praca zdalna
Poznañ, wielkopolskie;Specjalizacje:Frontend, UX/UI;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Backend, Frontend, Full-stack;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:DevOps;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Nowa Wieœ Legnicka (pow. legnicki), dolnoœl¹skie;Specjalizacje:Helpdesk, Product Management;mened¿er;umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Agile, UX/UI;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Koby³ka, mazowieckie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Kalisz, wielkopolskie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:Architecture;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Big Data / Data Science;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:SAP&ERP;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Architecture, IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Katowice, œl¹skie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:IT admin;senior specialist (Senior);contract of employment, B2B contract;full-time;full office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Wroc³aw, Lower Silesia;Specializations:System analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Gdañsk, pomorskie;Specjalizacje:QA/Testing;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Podgrodzie (pow. dêbicki), podkarpackie;Specjalizacje:Business analytics;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:Backend;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Wroc³aw, Lower Silesia;Specializations:IT admin;specialist (Mid / Regular), junior specialist (Junior);contract of employment, contract of mandate, B2B contract;full-time;full office work, home office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:Architecture;starszy specjalista (Senior), ekspert;umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Wroc³aw, dolnoœl¹skie;;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Helpdesk, SAP&ERP;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Helpdesk, SAP&ERP;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Helpdesk, SAP&ERP;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Helpdesk, SAP&ERP;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:QA/Testing;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, mazowieckie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Suchy Las (pow. poznañski), wielkopolskie;Specjalizacje:Backend, Frontend, Full-stack;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Izabelin-Dziekanówek (pow. nowodworski), mazowieckie;Specjalizacje:IT admin;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Lublin, lubelskie;Specjalizacje:IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Wroc³aw, Lower Silesia;Specializations:IT admin;specialist (Mid / Regular);contract of employment, contract of mandate, B2B contract;full-time;full office work, hybrid work
Grodzisk Mazowiecki, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:IT admin;specialist (Mid / Regular);B2B contract;full-time;home office work
Szczecin, West Pomeranian;Specializations:Helpdesk;specialist (Mid / Regular), junior specialist (Junior);contract of employment;full-time;hybrid work
Rybnik, œl¹skie;Specjalizacje:Frontend;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Stare Miasto (pow. koniñski), wielkopolskie;Specjalizacje:Business analytics, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Koszalin, zachodniopomorskie;Specjalizacje:Backend, Frontend, Full-stack;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Frontend, Full-stack, UX/UI;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Kraków, Lesser Poland;;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;full office work, hybrid work
Lubartów, lubelskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Kraków, ma³opolskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie;czêœæ etatu;praca stacjonarna
Kraków, Lesser Poland;;specialist (Mid / Regular);contract of employment;full-time, part time;full office work
Sosnowiec, œl¹skie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Gdañsk, pomorskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Szczecin, West Pomeranian;Specializations:Backend;specialist (Mid / Regular);contract of employment;full-time;full office work, hybrid work
Nowy S¹cz, ma³opolskie;Specjalizacje:IT admin, Security;starszy specjalista (Senior), ekspert;kontrakt B2B;pe³ny etat;praca stacjonarna
Kraków, ma³opolskie;Specjalizacje:Helpdesk;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
£ódŸ, £ódŸ;Specializations:Product Management;specialist (Mid / Regular);contract of employment;full-time;home office work
Warszawa, Masovian;Specializations:Architecture, Embedded, QA/Testing;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;full office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;praktykant / sta¿ysta;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;praktykant / sta¿ysta;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science, Business analytics;praktykant / sta¿ysta;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa zlecenie, kontrakt B2B;czêœæ etatu, dodatkowa / tymczasowa;praca zdalna
Warszawa, Masovian;Specializations:Architecture, DevOps, Full-stack, IT admin, QA/Testing;specialist (Mid / Regular);B2B contract;full-time;home office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:Agile, Business analytics, System analytics;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Business analytics, System analytics;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Lublin, Lublin;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:UX/UI;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Lublin, lubelskie;Specjalizacje:Architecture, Backend, Big Data / Data Science;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat, czêœæ etatu;praca stacjonarna, praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Gdañsk, Pomeranian;Specializations:SAP&ERP;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Rzeszów, Subcarpathia;;senior specialist (Senior);contract of employment;full-time;hybrid work
£ódŸ, ³ódzkie;;specjalista (Mid / Regular);kontrakt B2B;;praca mobilna
Jelcz-Laskowice, dolnoœl¹skie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Wroc³aw, dolnoœl¹skie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Szczecin, West Pomeranian;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment;full-time;full office work, home office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:Business analytics, System analytics;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, umowa zlecenie;pe³ny etat;praca hybrydowa
Gdynia, pomorskie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Jelcz-Laskowice, dolnoœl¹skie;Specjalizacje:Security;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Jelcz-Laskowice, dolnoœl¹skie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;praktykant / sta¿ysta;umowa o sta¿ / praktyki;pe³ny etat, czêœæ etatu, dodatkowa / tymczasowa;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Business analytics;ekspert;umowa na zastêpstwo;pe³ny etat;praca hybrydowa
Katowice, œl¹skie;Specjalizacje:Embedded;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:DevOps;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Architecture;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Tarnowo Podgórne (pow. poznañski), wielkopolskie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Gdañsk, Pomeranian;Specializations:SAP&ERP;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:DevOps;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:IT admin, System analytics;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Zabrze, œl¹skie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie;pe³ny etat;praca stacjonarna
Gdañsk, Pomeranian;Specializations:IT admin, Product Management;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:SAP&ERP;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:SAP&ERP;manager / supervisor;contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:SAP&ERP;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:DevOps;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:DevOps, System analytics;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Poznañ, Greater Poland;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment, temporary staffing agreement;full-time;hybrid work
Kraków, ma³opolskie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Architecture, Backend;team manager;contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Frontend;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Frontend;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Œrem, wielkopolskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;ekspert;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Opole, opolskie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca mobilna
Warszawa, mazowieckie;Specjalizacje:Full-stack, Security, UX/UI;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:IT admin;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Pabianice, ³ódzkie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Szczecin, zachodniopomorskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Katowice, œl¹skie;Specjalizacje:QA/Testing;specjalista (Mid / Regular), m³odszy specjalista (Junior);kontrakt B2B;pe³ny etat;praca zdalna
Szczecin, zachodniopomorskie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Lublin, lubelskie;Specjalizacje:Backend, Business analytics, DevOps, Frontend, QA/Testing;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Architecture, Project Management, Security;specjalista (Mid / Regular);kontrakt B2B, umowa o sta¿ / praktyki;pe³ny etat, czêœæ etatu;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Business analytics, System analytics;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Wroc³aw, dolnoœl¹skie;;asystent, m³odszy specjalista (Junior);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat, czêœæ etatu;praca stacjonarna
Warszawa, mazowieckie;;mened¿er;umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Gdañsk, Pomeranian;;specialist (Mid / Regular);contract of employment, B2B contract;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:DevOps;specialist (Mid / Regular);B2B contract;full-time;home office work, hybrid work
Szczecin, zachodniopomorskie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Architecture, Embedded, Full-stack, Project Management, Security;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Lublin, lubelskie;Specjalizacje:Agile, Business analytics, Frontend, QA/Testing, SAP&ERP;m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna
Grodzisk Mazowiecki, mazowieckie;;kierownik / koordynator;umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Tychy, œl¹skie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
£ódŸ, ³ódzkie;Specjalizacje:Backend, Business analytics, Frontend, Full-stack, Mobile;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Pruszcz Gdañski, pomorskie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:Architecture, Embedded;senior specialist (Senior), expert;contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa zlecenie, kontrakt B2B;dodatkowa / tymczasowa;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna
Gdañsk, Pomeranian;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Gdynia, pomorskie;Specjalizacje:Embedded;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Gliwice, œl¹skie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular), junior specialist (Junior);contract of employment;full-time;full office work
Warszawa, mazowieckie;Specjalizacje:IT admin, QA/Testing;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Gliwice, œl¹skie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Wroc³aw, Lower Silesia;Specializations:Backend;specialist (Mid / Regular), junior specialist (Junior);contract of employment, B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:System analytics;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:DevOps, IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Alwernia, ma³opolskie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Marki, Masovian;Specializations:System analytics;junior specialist (Junior);contract of employment;full-time;hybrid work
£ódŸ, ³ódzkie;Specjalizacje:DevOps, IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:Big Data / Data Science;starszy specjalista (Senior), ekspert;umowa o pracê;pe³ny etat;praca hybrydowa
Gdañsk, Pomeranian;;specialist (Mid / Regular);contract of employment;full-time;full office work, hybrid work
Stare Babice (pow. warszawski zachodni), mazowieckie;Specjalizacje:Helpdesk;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment, B2B contract;full-time;full office work
Szczecin, West Pomeranian;Specializations:Backend;junior specialist (Junior);contract of employment;full-time;full office work, hybrid work
Gliwice, Silesian;Specializations:QA/Testing;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Gliwice, Silesian;Specializations:QA/Testing;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Gostyñ, wielkopolskie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Business analytics, System analytics;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, Masovian;;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Warszawa, Masovian;;manager / supervisor;B2B contract;full-time;hybrid work
Poznañ, wielkopolskie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;asystent;umowa zlecenie;;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Business analytics;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Architecture;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
